상품명,이미지url,할인가,상세 페이지,상품코드
[아모스프로페셔널]1+1 아모스 녹차실감 중건성(촉촉한 타입) 샴푸 500g  무료배송,https:////gdimg.gmarket.co.kr/2847712564/still/300?ver=2023032909,"31,900원",http://item.gmarket.co.kr/Item?goodscode=2847712564&ver=638156772875371091,2847712564
[에바스]로에랑스 퍼퓸 바디미스트/샤워코롱 250ml 1+1+정품하나더(+행사중)(최종가:13430원),https:////gdimg.gmarket.co.kr/832114998/still/300?ver=2023032909,"16,600원",http://item.gmarket.co.kr/Item?goodscode=832114998&ver=638156772875371091,832114998&
[동원에프앤비]라이트스탠다드 85g x 14캔,https:////gdimg.gmarket.co.kr/1778760847/still/300?ver=2023032909,"21,000원",http://item.gmarket.co.kr/Item?goodscode=1778760847&ver=638156772875371091,1778760847
[농협]화산농협 해남 황토 호박고구마 9kg(4.5kg2박스),https:////gdimg.gmarket.co.kr/2866270125/still/300?ver=2023032909,"29,900원",http://item.gmarket.co.kr/Item?goodscode=2866270125&ver=638156772875371091,2866270125
[서울우유]멸균우유 1000ml x 10입 (1박스),https:////gdimg.gmarket.co.kr/1920684660/still/300?ver=2023032909,"25,300원",http://item.gmarket.co.kr/Item?goodscode=1920684660&ver=638156772875371091,1920684660
[유한락스]유한락스 욕실청소용 500ml 총 4개,https:////gdimg.gmarket.co.kr/2487711970/still/300?ver=2023032909,"12,900원",http://item.gmarket.co.kr/Item?goodscode=2487711970&ver=638156772875371091,2487711970
[구글플레이]기프트코드 5만원 / 구글 기프트카드,https:////gdimg.gmarket.co.kr/1655242060/still/300?ver=2023032909,"47,500원",http://item.gmarket.co.kr/Item?goodscode=1655242060&ver=638156772875371091,1655242060
썬키스트 카라카라 오렌지 중과(200g내외) 15과 /2개주문시 33과발송,https:////gdimg.gmarket.co.kr/2388032148/still/300?ver=2023032909,"17,900원",http://item.gmarket.co.kr/Item?goodscode=2388032148&ver=638156772875371091,2388032148
[데일리앤](주문급증) 스텔라 샤 레이스 롱 스커트,https:////gdimg.gmarket.co.kr/1296906433/still/300?ver=2023032909,"14,800원",http://item.gmarket.co.kr/Item?goodscode=1296906433&ver=638156772875371091,1296906433
[매일유업]요미요미 유기농 주스 125ml 24팩 모음,https:////gdimg.gmarket.co.kr/2628342593/still/300?ver=2023032909,"17,900원",http://item.gmarket.co.kr/Item?goodscode=2628342593&ver=638156772875371091,2628342593
키즈 원리셈/ 원리셈 세트,https:////gdimg.gmarket.co.kr/2122159837/still/300?ver=2023032909,"41,310원",http://item.gmarket.co.kr/Item?goodscode=2122159837&ver=638156772875371091,2122159837
1+1 1989 뉴욕 자수로고 볼캡 남여공용 야구 모자 썬캡 버킷햇,https:////gdimg.gmarket.co.kr/2808997839/still/300?ver=2023032909,"9,900원",http://item.gmarket.co.kr/Item?goodscode=2808997839&ver=638156772875371091,2808997839
[피죤]피죤 섬유유연제 3100ml 4개 핑크로즈,https:////gdimg.gmarket.co.kr/1635847712/still/300?ver=2023032909,"16,900원",http://item.gmarket.co.kr/Item?goodscode=1635847712&ver=638156772875371091,1635847712
[그린핑거]유아용품 소독티슈 캡형 50매X10팩 W,https:////gdimg.gmarket.co.kr/2611953996/still/300?ver=2023032909,"23,000원",http://item.gmarket.co.kr/Item?goodscode=2611953996&ver=638156772875371091,2611953996
산지직송 당도선별 가정용  성주참외 5kg 랜덤 GAP인증,https:////gdimg.gmarket.co.kr/2061782268/still/300?ver=2023032909,"29,900원",http://item.gmarket.co.kr/Item?goodscode=2061782268&ver=638156772875371091,2061782268
[아모스프로페셔널]1+1 아모스 퓨어 스마트 쿨 샴푸 500g 무료배송,https:////gdimg.gmarket.co.kr/2847751465/still/300?ver=2023032909,"22,500원",http://item.gmarket.co.kr/Item?goodscode=2847751465&ver=638156772875371091,2847751465
[스파클]스파클생수 500ml 100병 무라벨생수,https:////gdimg.gmarket.co.kr/2584905546/still/300?ver=2023032909,"19,900원",http://item.gmarket.co.kr/Item?goodscode=2584905546&ver=638156772875371091,2584905546
[동원참치]동원 라이트 스탠다드 참치 150g 원터치 10개,https:////gdimg.gmarket.co.kr/1579104167/still/300?ver=2023032909,"21,900원",http://item.gmarket.co.kr/Item?goodscode=1579104167&ver=638156772875371091,1579104167
수원의 명물 남문통닭 수원왕갈비통닭 X 2EA,https:////gdimg.gmarket.co.kr/2844196927/still/300?ver=2023032909,"19,900원",http://item.gmarket.co.kr/Item?goodscode=2844196927&ver=638156772875371091,2844196927
[티비제이]TBJ 마지막 늦겨울 파워세일 인기 의류 통합전,https:////gdimg.gmarket.co.kr/2476944118/still/300?ver=2023032909,"10,900원",http://item.gmarket.co.kr/Item?goodscode=2476944118&ver=638156772875371091,2476944118
[핑크랩](최종가 17900원) 핑크랩 레디백 여행 캐리어 + 트레블키트(입오버대형 1매X2팩) 외 그램 생리대 기획전,https:////gdimg.gmarket.co.kr/2595261633/still/300?ver=2023032909,"25,900원",http://item.gmarket.co.kr/Item?goodscode=2595261633&ver=638156772875371091,2595261633
(할인특가) 어깨동무 - 사운드북세트 : 옵션 선택구매,https:////gdimg.gmarket.co.kr/2855298653/still/300?ver=2023032909,"34,900원",http://item.gmarket.co.kr/Item?goodscode=2855298653&ver=638156772875371091,2855298653
팸퍼스 기저귀 베이비드라이 2박스 모음전+스타벅스 5천원권 증정,https:////gdimg.gmarket.co.kr/1791763241/still/300?ver=2023032909,"118,660원",http://item.gmarket.co.kr/Item?goodscode=1791763241&ver=638156772875371091,1791763241
[블루독](신세계강남점)23년SS신상) 23175-415-05(MG)쿨기능트레이닝팬츠(정가65000원),https:////gdimg.gmarket.co.kr/2789552379/still/300?ver=2023032909,"31,690원",http://item.gmarket.co.kr/Item?goodscode=2789552379&ver=638156772875371091,2789552379
[모르간]런칭가 89.900원 MORGAN 슬릿 와이드 팬츠 2종,https:////gdimg.gmarket.co.kr/2782274240/still/300?ver=2023032909,"69,900원",http://item.gmarket.co.kr/Item?goodscode=2782274240&ver=638156772875371091,2782274240
[레모나]카카오 레모나산 (2g X 70포)/하루특가/사은품 2종/환절기비타민충전,https:////gdimg.gmarket.co.kr/2179332383/still/300?ver=2023032909,"13,900원",http://item.gmarket.co.kr/Item?goodscode=2179332383&ver=638156772875371091,2179332383
[호정가]호정가 찹쌀약과세트 1KG / 달콤한 전통과자세트,https:////gdimg.gmarket.co.kr/2006102802/still/300?ver=2023032909,"9,900원",http://item.gmarket.co.kr/Item?goodscode=2006102802&ver=638156772875371091,2006102802
두메산골 오리 양념 주물럭 300g  5팩,https:////gdimg.gmarket.co.kr/2832698785/still/300?ver=2023032909,"23,900원",http://item.gmarket.co.kr/Item?goodscode=2832698785&ver=638156772875371091,2832698785
22년햅쌀 특등급진도선진농협 보배진미쌀 10kg2포,https:////gdimg.gmarket.co.kr/2841816366/still/300?ver=2023032909,"52,000원",http://item.gmarket.co.kr/Item?goodscode=2841816366&ver=638156772875371091,2841816366
[구글플레이]기프트코드 3만원 / 구글 기프트카드,https:////gdimg.gmarket.co.kr/1655241628/still/300?ver=2023032909,"28,500원",http://item.gmarket.co.kr/Item?goodscode=1655241628&ver=638156772875371091,1655241628
원어민줌클래스/영어/니키선생님/My Math/매주화요일/주1회/12주코스,https:////gdimg.gmarket.co.kr/2333978151/still/300?ver=2023032909,"120,000원",http://item.gmarket.co.kr/Item?goodscode=2333978151&ver=638156772875371091,2333978151
[청정원]리치부어스트 할라피뇨 1.5kg 1개,https:////gdimg.gmarket.co.kr/2760898851/still/300?ver=2023032909,"22,500원",http://item.gmarket.co.kr/Item?goodscode=2760898851&ver=638156772875371091,2760898851
[어니스트초이스]통삼겹살 2kg 슬라이스 4등분 선택가능,https:////gdimg.gmarket.co.kr/2444141565/still/300?ver=2023032909,"26,900원",http://item.gmarket.co.kr/Item?goodscode=2444141565&ver=638156772875371091,2444141565
[SSG Fresh]맛있게 매운맛  하남쭈꾸미 500g X 3팩,https:////gdimg.gmarket.co.kr/2098259811/still/300?ver=2023032909,"30,900원",http://item.gmarket.co.kr/Item?goodscode=2098259811&ver=638156772875371091,2098259811
[안티프라그]부광 얇은헤드 칫솔 초극세모 12입 X 3세트,https:////gdimg.gmarket.co.kr/2184819687/still/300?ver=2023032909,"17,000원",http://item.gmarket.co.kr/Item?goodscode=2184819687&ver=638156772875371091,2184819687
[페넬로페]페넬로페 씬씬씬 플러스/NEW 씬씬씬 아이스 썸머 외 팬티 밴드 기저귀 모음,https:////gdimg.gmarket.co.kr/2511507258/still/300?ver=2023032909,"50,600원",http://item.gmarket.co.kr/Item?goodscode=2511507258&ver=638156772875371091,2511507258
이맛쌀 20kg,https:////gdimg.gmarket.co.kr/2522267922/still/300?ver=2023032909,"44,900원",http://item.gmarket.co.kr/Item?goodscode=2522267922&ver=638156772875371091,2522267922
[오뚜기밥]오뚜기 맛있는 밥 30입(210g10 x 3개),https:////gdimg.gmarket.co.kr/2544143516/still/300?ver=2023032909,"26,900원",http://item.gmarket.co.kr/Item?goodscode=2544143516&ver=638156772875371091,2544143516
원신기농장 포곤포곤 수미감자  3kg(특/개당중량100g이상),https:////gdimg.gmarket.co.kr/2859764769/still/300?ver=2023032909,"18,000원",http://item.gmarket.co.kr/Item?goodscode=2859764769&ver=638156772875371091,2859764769
[샐리의법칙]입는 오버나이트 팬티형 생리대 대형(3입) x 5팩 순면감촉 안심팬티,https:////gdimg.gmarket.co.kr/2763765853/still/300?ver=2023032909,"13,900원",http://item.gmarket.co.kr/Item?goodscode=2763765853&ver=638156772875371091,2763765853
[에잇세컨즈]15%쿠폰 에잇세컨즈 봄맞이 코디 완성 가디건/니트/슬랙스,https:////gdimg.gmarket.co.kr/1928561189/still/300?ver=2023032909,"26,200원",http://item.gmarket.co.kr/Item?goodscode=1928561189&ver=638156772875371091,1928561189
[올젠]면 스판 카푸치노 팬츠 8종 ZAC5PP1191,https:////gdimg.gmarket.co.kr/2805355151/still/300?ver=2023032909,"24,000원",http://item.gmarket.co.kr/Item?goodscode=2805355151&ver=638156772875371091,2805355151
[아모스프로페셔널]1+1 아모스 녹차실감 민감성(부드러운 타입) 샴푸 500g 무료배송,https:////gdimg.gmarket.co.kr/2847721377/still/300?ver=2023032909,"31,900원",http://item.gmarket.co.kr/Item?goodscode=2847721377&ver=638156772875371091,2847721377
원어민줌클래스/영어/니키선생님/원더스 GK단계/매주 월요일/총12회/12주코스,https:////gdimg.gmarket.co.kr/2567127575/still/300?ver=2023032909,"120,000원",http://item.gmarket.co.kr/Item?goodscode=2567127575&ver=638156772875371091,2567127575
[해피바스]해피바스 바디워시900g 3종세트 유자/체리/자몽,https:////gdimg.gmarket.co.kr/2099999838/still/300?ver=2023032909,"17,900원",http://item.gmarket.co.kr/Item?goodscode=2099999838&ver=638156772875371091,2099999838
[이너리즘]5장세트 소프트 터치 심리스 투톤 모달팬티,https:////gdimg.gmarket.co.kr/2500848672/still/300?ver=2023032909,"10,000원",http://item.gmarket.co.kr/Item?goodscode=2500848672&ver=638156772875371091,2500848672
[스타벅스]스타벅스 캡슐커피 by 네스프레소 5박스(50개입)/스벅 머그컵+초콜릿 증정/2세트 스벅 무료음료권 추가증정,https:////gdimg.gmarket.co.kr/2510397348/still/300?ver=2023032909,"31,950원",http://item.gmarket.co.kr/Item?goodscode=2510397348&ver=638156772875371091,2510397348
자연산 손질통오징어대130g22마리,https:////gdimg.gmarket.co.kr/2785563009/still/300?ver=2023032909,"40,900원",http://item.gmarket.co.kr/Item?goodscode=2785563009&ver=638156772875371091,2785563009
무안 유기농 달수꿀고구마 5kg(한입),https:////gdimg.gmarket.co.kr/2352273475/still/300?ver=2023032909,"11,900원",http://item.gmarket.co.kr/Item?goodscode=2352273475&ver=638156772875371091,2352273475
[햇반]햇반 210g x24입,https:////gdimg.gmarket.co.kr/2328254013/still/300?ver=2023032909,"27,970원",http://item.gmarket.co.kr/Item?goodscode=2328254013&ver=638156772875371091,2328254013
과일꾼 성주 벌꿀 참외 가정용 소과 2kg 10-14과,https:////gdimg.gmarket.co.kr/2470165735/still/300?ver=2023032909,"18,900원",http://item.gmarket.co.kr/Item?goodscode=2470165735&ver=638156772875371091,2470165735
[에코버]에코버 식기세척기세제 올인원 440g+가위 증정,https:////gdimg.gmarket.co.kr/2722476942/still/300?ver=2023032909,"17,500원",http://item.gmarket.co.kr/Item?goodscode=2722476942&ver=638156772875371091,2722476942
[2080]2080 퓨어 마운틴 솔트 치약 핑크 120g 12개,https:////gdimg.gmarket.co.kr/1771516558/still/300?ver=2023032909,"18,900원",http://item.gmarket.co.kr/Item?goodscode=1771516558&ver=638156772875371091,1771516558
(봄이아트북스) 공룡 대발이 수학동화/과학동화 선택구매,https:////gdimg.gmarket.co.kr/2683597416/still/300?ver=2023032909,"148,000원",http://item.gmarket.co.kr/Item?goodscode=2683597416&ver=638156772875371091,2683597416
[열라면]열라면 멀티팩 (120GX5입) 8개(1박스),https:////gdimg.gmarket.co.kr/2429045798/still/300?ver=2023032909,"24,600원",http://item.gmarket.co.kr/Item?goodscode=2429045798&ver=638156772875371091,2429045798
[앙방]베이비 앤 키즈 (5%+20%최종23930원)대용량 아토 아기로션 500ml 1+1개+브라운 터치 비데 물티슈 휴대 2팩,https:////gdimg.gmarket.co.kr/2368137166/still/300?ver=2023032909,"31,900원",http://item.gmarket.co.kr/Item?goodscode=2368137166&ver=638156772875371091,2368137166
[티르티르]역대최대용량 티르티르 물광 콜라겐生생크림 물광마스크 10통,https:////gdimg.gmarket.co.kr/2868462267/still/300?ver=2023032909,"146,000원",http://item.gmarket.co.kr/Item?goodscode=2868462267&ver=638156772875371091,2868462267
[애경]케라시스 퍼퓸 샴푸/린스 980ml x4개 +샴푸180ml 증정,https:////gdimg.gmarket.co.kr/2219385779/still/300?ver=2023032909,"21,510원",http://item.gmarket.co.kr/Item?goodscode=2219385779&ver=638156772875371091,2219385779
[메디플라워]곡물 클렌징폼/폼클렌징 1+1+1 +1+1/150ml,https:////gdimg.gmarket.co.kr/462942360/still/300?ver=2023032909,"9,500원",http://item.gmarket.co.kr/Item?goodscode=462942360&ver=638156772875371091,462942360&
[탑텐]탑텐 본사직영 쿨에어/티셔츠/폴로티/스웨터 외 특가,https:////gdimg.gmarket.co.kr/2568237082/still/300?ver=2023032909,"9,290원",http://item.gmarket.co.kr/Item?goodscode=2568237082&ver=638156772875371091,2568237082
[스파클]스파클생수 2L 30병 무라벨생수,https:////gdimg.gmarket.co.kr/2007982106/still/300?ver=2023032909,"16,900원",http://item.gmarket.co.kr/Item?goodscode=2007982106&ver=638156772875371091,2007982106
더코코리 썸원박스 프린트 박스 티셔츠  무료배송 단독특가 주문1위,https:////gdimg.gmarket.co.kr/2842342253/still/300?ver=2023032909,"12,900원",http://item.gmarket.co.kr/Item?goodscode=2842342253&ver=638156772875371091,2842342253
[밀크바오밥]20%+5% 리필증정 1+1 샴푸 트리트먼트 워시 베이비키즈 브레드이발소,https:////gdimg.gmarket.co.kr/776433041/still/300?ver=2023032909,"26,900원",http://item.gmarket.co.kr/Item?goodscode=776433041&ver=638156772875371091,776433041&
[슈퍼대디]아기물티슈  (선착순 23900원) 시그니처77 아기물티슈 캡형 70매 20팩 (77g),https:////gdimg.gmarket.co.kr/2207925356/still/300?ver=2023032909,"31,900원",http://item.gmarket.co.kr/Item?goodscode=2207925356&ver=638156772875371091,2207925356
[동원에프앤비]동원 현미밥 130g 24개 (1박스),https:////gdimg.gmarket.co.kr/2585210198/still/300?ver=2023032909,"21,900원",http://item.gmarket.co.kr/Item?goodscode=2585210198&ver=638156772875371091,2585210198
[시매쓰출판]시매쓰 빨강도형/빨강연산 단계별 선택구매,https:////gdimg.gmarket.co.kr/2741722458/still/300?ver=2023032909,"30,800원",http://item.gmarket.co.kr/Item?goodscode=2741722458&ver=638156772875371091,2741722458
[구글플레이]기프트코드 20만원 / 구글 기프트카드,https:////gdimg.gmarket.co.kr/1655243018/still/300?ver=2023032909,"190,000원",http://item.gmarket.co.kr/Item?goodscode=1655243018&ver=638156772875371091,1655243018
[려]자양윤모 9ex 탈모전문케어 샴푸(지성)400ml 3입,https:////gdimg.gmarket.co.kr/2380938484/still/300?ver=2023032909,"20,000원",http://item.gmarket.co.kr/Item?goodscode=2380938484&ver=638156772875371091,2380938484
[콜게이트]콜게이트 그레이트 레귤러 플레버 치약 175g X 6개,https:////gdimg.gmarket.co.kr/2257580522/still/300?ver=2023032909,"20,900원",http://item.gmarket.co.kr/Item?goodscode=2257580522&ver=638156772875371091,2257580522
제이프랑/여름신상 티셔츠/팬츠/트레이닝세트/반팔,https:////gdimg.gmarket.co.kr/2624877870/still/300?ver=2023032909,"14,900원",http://item.gmarket.co.kr/Item?goodscode=2624877870&ver=638156772875371091,2624877870
[삠뽀요]삠뽀요 봄SALE 3장이상구매시 1천원할인/등원복/상하복/티셔츠/레깅스/팬츠,https:////gdimg.gmarket.co.kr/900637906/still/300?ver=2023032909,"12,900원",http://item.gmarket.co.kr/Item?goodscode=900637906&ver=638156772875371091,900637906&
[네파](신세계경기점)네파 NEPA DS-BG 디에스슬링백 7JG7550,https:////gdimg.gmarket.co.kr/2839941572/still/300?ver=2023032909,"29,790원",http://item.gmarket.co.kr/Item?goodscode=2839941572&ver=638156772875371091,2839941572
[고려은단]비타민C 1000 600정 X 1개 (20개월분),https:////gdimg.gmarket.co.kr/1589098023/still/300?ver=2023032909,"41,900원",http://item.gmarket.co.kr/Item?goodscode=1589098023&ver=638156772875371091,1589098023
[풀무원]풀무원 살아있는 실의 힘 검정약콩 나또 40팩,https:////gdimg.gmarket.co.kr/2063980538/still/300?ver=2023032909,"46,850원",http://item.gmarket.co.kr/Item?goodscode=2063980538&ver=638156772875371091,2063980538
[코디]뉴플라워 미용티슈 250매 6입 2팩 각티슈 화장지,https:////gdimg.gmarket.co.kr/1789099739/still/300?ver=2023032909,"24,900원",http://item.gmarket.co.kr/Item?goodscode=1789099739&ver=638156772875371091,1789099739
[마이비데키즈]마이비데 키즈 캡 40매x9개x2개/화장실/물티슈/배변훈련,https:////gdimg.gmarket.co.kr/2514308532/still/300?ver=2023032909,"29,500원",http://item.gmarket.co.kr/Item?goodscode=2514308532&ver=638156772875371091,2514308532
[잘풀리는집]잘풀리는집 리얼실키 미용티슈 240매12개/각티슈/휴지,https:////gdimg.gmarket.co.kr/958030778/still/300?ver=2023032909,"17,900원",http://item.gmarket.co.kr/Item?goodscode=958030778&ver=638156772875371091,958030778&
[프로젝트M]프로젝트M 봄 신상 역대급 특가,https:////gdimg.gmarket.co.kr/2298519245/still/300?ver=2023032909,"27,900원",http://item.gmarket.co.kr/Item?goodscode=2298519245&ver=638156772875371091,2298519245
[아웃도어프로덕츠]본사직영 봄맞이 PICK 티셔츠/바지/치마/원피스,https:////gdimg.gmarket.co.kr/2839627554/still/300?ver=2023032909,"53,620원",http://item.gmarket.co.kr/Item?goodscode=2839627554&ver=638156772875371091,2839627554
[비오템옴므](신세계강남점)[3SSG] 아쿠아파워 올인원 200ml 세트,https:////gdimg.gmarket.co.kr/2084801019/still/300?ver=2023032909,"49,600원",http://item.gmarket.co.kr/Item?goodscode=2084801019&ver=638156772875371091,2084801019
[김정문알로에]김정문알로에 큐어 젤리 마스크(그린) 10매 1+1,https:////gdimg.gmarket.co.kr/2511613457/still/300?ver=2023032909,"18,900원",http://item.gmarket.co.kr/Item?goodscode=2511613457&ver=638156772875371091,2511613457
[쟌슨빌소시지]육즙가득 쟌슨빌 소시지 1670g 2종 택1,https:////gdimg.gmarket.co.kr/1635823299/still/300?ver=2023032909,"34,390원",http://item.gmarket.co.kr/Item?goodscode=1635823299&ver=638156772875371091,1635823299
[도브]도브 비누 센스티브바 90g 12개 + 치약1개,https:////gdimg.gmarket.co.kr/1677520166/still/300?ver=2023032909,"16,500원",http://item.gmarket.co.kr/Item?goodscode=1677520166&ver=638156772875371091,1677520166
[노스페이스]노스페이스 SS BEST ITEM 의류/용품/신발 50종 모음,https:////gdimg.gmarket.co.kr/1445154131/still/300?ver=2023032909,"76,300원",http://item.gmarket.co.kr/Item?goodscode=1445154131&ver=638156772875371091,1445154131
